Date,predicted_probability
1962-01-31,0.12494675573896019
1962-02-28,0.13583894171156374
1962-04-30,0.11703972566743027
1962-05-31,0.177579974865005
1962-07-31,0.11620261366693775
1962-08-31,0.1483052131268141
1962-10-31,0.11172011985625277
1962-11-30,0.12624872946497764
1962-12-31,0.12183836430771916
1963-01-31,0.13053757669493934
1963-02-28,0.12706450679766215
1963-04-30,0.11860783689435746
1963-05-31,0.13289896260353007
1963-07-31,0.151344710946776
1963-09-30,0.15375866840079813
1963-10-31,0.15434591487329571
1963-12-31,0.16118844070067714
1964-01-31,0.16552403439865854
1964-03-31,0.14207576892751364
1964-04-30,0.1331066713673632
1964-06-30,0.15304039778022693
1964-07-31,0.13675621521453538
1964-08-31,0.1482959189895826
1964-09-30,0.16494354181579032
1964-11-30,0.2736002447700637
1964-12-31,0.35314659046998853
1965-03-31,0.315289138220094
1965-04-30,0.31612521757156425
1965-06-30,0.2515558149612552
1965-08-31,0.2509640551503032
1965-09-30,0.2771032556366272
1965-11-30,0.23746429898904203
1965-12-31,0.38838376914593503
1966-01-31,0.4408996916932689
1966-02-28,0.19677565680502826
1966-03-31,0.3341696368684378
1966-05-31,0.3908134509487784
1966-06-30,0.23333628069782872
1966-08-31,0.23743150952330466
1966-09-30,0.7810320121218128
1966-10-31,0.7231596662382087
1966-11-30,0.5078407171581801
1967-01-31,0.6907519225794925
1967-02-28,0.32350233288110103
1967-03-31,0.33753192735742876
1967-05-31,0.12848317927263145
1967-06-30,0.12873602141193397
1967-07-31,0.12493637868878658
1967-08-31,0.12272537859503661
1967-10-31,0.1297449438604214
1967-11-30,0.14520731331298886
1968-01-31,0.1206067512722872
1968-02-29,0.14398664787097956
1968-04-30,0.6483098742180231
1968-05-31,0.33232698993618365
1968-07-31,0.22918480324059998
1968-09-30,0.2153305334132143
1968-10-31,0.27677549670828033
1968-12-31,0.40700477730907736
1969-01-31,0.3718629704922465
1969-02-28,0.3286874482586674
1969-04-30,0.4898342853490236
1969-06-30,0.1614670508127058
1969-07-31,0.7233731553103563
1969-09-30,0.13240263489763543
1969-10-31,0.29689152543796626
1969-12-31,0.27281078825705496
1970-03-31,0.6519976073443865
1970-04-30,0.18383211241442612
1970-06-30,0.15017186542534344
1970-07-31,0.16216673731745
1970-08-31,0.19093580849579767
1970-09-30,0.14355591630958434
1970-11-30,0.17966720925017313
1970-12-31,0.17390009437674342
1971-03-31,0.13906864835509242
1971-04-30,0.14561087875580453
1971-06-30,0.1605852683780003
1971-08-31,0.14965234497839608
1971-09-30,0.13549108686322153
1971-11-30,0.1435765571402568
1971-12-31,0.15302157691910678
1972-01-31,0.14293814202848457
1972-02-29,0.12348532637235812
1972-05-31,0.13192144609750628
1972-06-30,0.13760342097730643
1972-07-31,0.13041726856358005
1972-08-31,0.14663496632372444
1972-10-31,0.1490086619290202
1972-11-30,0.13540500346398715
1973-01-31,0.33184513331212984
1973-02-28,0.3823241614292003
1973-04-30,0.12539959022355335
1973-05-31,0.6942151766140711
1973-07-31,0.962965573484338
1973-08-31,0.9763796897488548
1973-10-31,0.9227757859239365
1973-11-30,0.8450586982161914
1973-12-31,0.7939892178842605
1974-01-31,0.7675540892411273
1974-02-28,0.8488372089893393
1974-04-30,0.9671131151608424
1974-05-31,0.9179718590913546
1974-07-31,0.8453314968640283
1974-09-30,0.14183468007856218
1974-10-31,0.8178637887346933
1974-12-31,0.5739837102464198
1975-01-31,0.48125720721670845
1975-02-28,0.177854963390191
1975-03-31,0.15745785833033676
1975-04-30,0.13085704425878097
1975-06-30,0.1333146630680499
1975-07-31,0.14400727973919183
1975-09-30,0.13159048771436832
1975-10-31,0.12724748259353424
1975-12-31,0.1284108038872566
1976-03-31,0.1303251403725674
1976-04-30,0.13020894574637343
1976-06-30,0.13217795551776387
1976-08-31,0.12854147830724477
1976-09-30,0.12713805326494831
1976-11-30,0.12755788077397245
1976-12-31,0.12339408975497643
1977-01-31,0.12850236310222585
1977-02-28,0.1312352334690158
1977-03-31,0.13035551643338142
1977-05-31,0.13932870568028435
1977-06-30,0.12940915005113168
1977-08-31,0.16480371056966683
1977-09-30,0.15128109793896277
1977-10-31,0.16404482293081393
1977-11-30,0.14116492959602736
1978-01-31,0.1451945018466752
1978-02-28,0.13788291308787395
1978-03-31,0.13494455970467203
1978-05-31,0.14824583847855624
1978-06-30,0.14316365233075434
1978-07-31,0.13850148497818265
1978-08-31,0.14813950266514697
1978-10-31,0.30361854336681415
1978-11-30,0.7694826579937305
1979-01-31,0.3441511047668203
1979-02-28,0.2875048283028639
1979-04-30,0.23457157887734412
1979-05-31,0.5381857078831176
1979-07-31,0.24837543733291706
1979-08-31,0.7297832925507145
1979-10-31,0.9375465027831159
1979-11-30,0.9448440632257266
1979-12-31,0.9701367308996569
1980-01-31,0.7601023299119224
1980-02-29,0.9320406529264411
1980-03-31,0.9180117105271908
1980-04-30,0.2300488056991272
1980-06-30,0.6548899050010086
1980-07-31,0.13004869018255316
1980-09-30,0.8453726495314415
1980-10-31,0.9690086924138744
1980-12-31,0.9180108019108312
1981-03-31,0.4932345930208432
1981-04-30,0.9306470637530596
1981-06-30,0.4866749980972965
1981-07-31,0.12361571162371926
1981-08-31,0.6994783918179706
1981-09-30,0.8707334081276557
1981-11-30,0.7594218976937944
1981-12-31,0.2362817439593844
1982-03-31,0.13803425200946529
1982-04-30,0.13457776861794393
1982-06-30,0.12343563479429756
1982-08-31,0.18015834426888597
1982-09-30,0.1406236134126125
1982-11-30,0.14814662637567844
1982-12-31,0.13075184713156085
